"MESSAGEID","COMMUNICATIONSOURCE","VENDORCODE","MUNETWORKID","NUMERATOR","STATUS","TIME","MESSAGETYPE","MESSAGESOURCE","GPSCONNECTION","OPERATIONMODE","EVENTCODE","DISTRESS","IGNITION","SHOCK","DOOR","OUTGPSPOWER","OUTGRADSTOP","OUTSIRENCONTROL","OUTDOORUNLOCK","OUTIMMOBILIZER","OUTDOORLOCK","OUTBLINKERCONTROL","OUTINTERNALLIGHTS","MAINSUPPLYVOLTAGE","BACKUPBATTERYVOLTAGE","MAINPOWERREGULATEDVOLTAGE","ANALOGVOLTAGE","DISTANCE","DALLASCODE","LASTGPSFIX","GPSNUMBEROFSATELLITESUSED","GPSLONGITUDE","GPSLATITUDE","GPSALTITUDE","GPSGROUNDSPEED","SPEEDDIRECTION","HWVERSION","SWVERSION","SWPROTOCOLVERSIONIDENT","MESSAGE","INPUTA","INPUTB","MESSAGEFROMMEMORY","GSMOPERATORCODE"
"2881242023","G","DT465","2028334","14","R","2015-12-17 14:40:09.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.868000030518","NULL","NULL","NULL","393593","NULL","2015-12-17 14:40:09.000","12","32.784152984619","39.91625213623","859.59997558594","63.29999923706","5.4105205535889","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242129","S","DT90C","722414","15","R","2015-12-17 14:40:10.000","G","1","C","0","36","I","A","A","A","I","I","I","I","I","I","I","I","27.511430740356","0.33221930265427","3.90625","0","2064649","0","2015-12-17 14:40:00.000","9","33.313919067383","37.220329284668","1042.3299560547","24.083999633789","5.8610000610352","113","29","d","NULL","I","I","F","28601"
"2881242200","G","DT465","2022214","66","R","2015-12-17 14:40:10.000","G","1","C","NULL","204","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12.0640001297","NULL","NULL","NULL","70700","NULL","2015-12-17 14:40:10.000","12","31.920413970947","40.163108825684","679.5","18.39999961853","3.1939525604248","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242215","S","DT20N","1075774","202","R","2015-12-17 14:40:09.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","14.120911598206","0","0","0","324752","0","2015-12-17 14:40:00.000","8","28.974805831909","40.229415893555","115.37999725342","28.619998931885","0.591000020504","221","31","z","NULL","A","I","F","28602"
"2881242260","S","DT20N","1044454","110","R","2015-12-17 14:40:11.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","13.999179840088","11.722595214844","2.83203125","0","226094","0","2015-12-17 14:40:00.000","9","29.473894119263","40.803146362305","169.20999145508","29.663999557495","5.9920001029968","222","31","o","NULL","I","I","F","28601"
"2881242350","S","DT20N","1058334","92","R","2015-12-17 14:40:11.000","G","1","C","0","44","A","A","A","I","I","I","I","I","I","I","I","I","13.877447128296","0","0","0","392527","0","2015-12-17 14:40:00.000","8","27.217693328857","41.724369049072","202.05000305176","56.087997436523","2.9379999637604","221","31","z","NULL","A","I","F","28602"
"2881242409","S","DT20N","1080454","174","R","2015-12-17 14:40:11.000","G","1","C","0","44","A","A","I","I","I","I","I","I","I","I","I","I","13.877447128296","0","0","0","342837","0","2015-12-17 14:40:00.000","7","28.805126190186","41.061946868896","61.219997406006","14.32799911499","4.8940000534058","221","31","z","NULL","A","I","F","28602"
"2881242440","S","DT900","53854","245","R","2015-12-17 14:40:11.000","G","1","C","0","44","I","A","A","A","I","I","I","I","I","I","I","I","13.999179840088","0.047459900379181","3.8671875","0","2286617","0","2015-12-17 14:40:00.000","7","28.821132659912","41.070526123047","140.75999450684","5.2919998168945","4.7589998245239","4","25","j","NULL","I","I","F","NULL"
"2881242449","G","DT465","2028809","130","R","2015-12-17 14:40:11.000","G","1","C","NULL","44","I","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13.958000183106","NULL","NULL","NULL","446991","NULL","2015-12-17 14:40:11.000","12","32.812229156494","39.887908935547","967.79998779297","53.599998474121","3.246312379837","33","33028","q","NULL","NULL","NULL","NULL","28602"
"2881242459","S","DT20T","1351774","92","R","12/17/2015 14:39","G","1","C","0","0","I","A","NULL","NULL","A","NULL","I","NULL","I","NULL","NULL","NULL","13.317999839783","NULL","NULL","NULL","42","NULL","NULL","9","41.008121490479","29.137506484985","153","16","122","NULL","NULL","NULL","io(speed=17;move=1;hdop=0.8)","NULL","NULL","NULL","0"
